Date,AQI_Predictions
2023-01-01,89
2023-02-01,80
2023-03-01,73
2023-04-01,66
2023-05-01,65
2023-06-01,65
2023-07-01,65
2023-08-01,55
2023-09-01,64
2023-10-01,62
2023-11-01,77
2023-12-01,82
