Date,AQI_Predictions
2023-01-01,60
2023-02-01,60
2023-03-01,60
2023-04-01,60
2023-05-01,60
2023-06-01,60
2023-07-01,60
2023-08-01,60
2023-09-01,59
2023-10-01,59
2023-11-01,59
2023-12-01,59
